,Date,AirTmp_35d,WtrTemp_35d,Mo,Yr
232,8/20/1982,25.18857143,24.89684629,8,1982
233,8/21/1982,25.12,24.836284,8,1982
234,8/22/1982,25.01428571,24.74291714,8,1982
235,8/23/1982,24.95428571,24.68992514,8,1982
236,8/24/1982,24.94285714,24.67983143,8,1982
237,8/25/1982,24.98857143,24.72020629,8,1982
238,8/26/1982,24.88571429,24.62936286,8,1982
239,8/27/1982,24.86,24.606652,8,1982
240,8/28/1982,24.86571429,24.61169886,8,1982
241,8/29/1982,24.68285714,24.45019943,8,1982
242,8/30/1982,24.46857143,24.26094229,8,1982
243,8/31/1982,24.30857143,24.11963029,8,1982
244,9/1/1982,24.26285714,24.07925543,9,1982
245,9/2/1982,24.35428571,24.16000514,9,1982
246,9/3/1982,24.35714286,24.16252857,9,1982
247,9/4/1982,24.30571429,24.11710686,9,1982
248,9/5/1982,24.16285714,23.99093543,9,1982
249,9/6/1982,24.02,23.864764,9,1982
250,9/7/1982,23.92857143,23.78401429,9,1982
251,9/8/1982,23.81142857,23.68055371,9,1982
252,9/9/1982,23.67142857,23.55690571,9,1982
253,9/10/1982,23.51714286,23.42064057,9,1982
254,9/11/1982,23.38285714,23.30203943,9,1982
255,9/12/1982,23.30857143,23.23643029,9,1982
256,9/13/1982,23.26857143,23.20110229,9,1982
257,9/14/1982,23.24285714,23.17839143,9,1982
258,9/15/1982,23.23428571,23.17082114,9,1982
259,9/16/1982,23.34,23.264188,9,1982
260,9/17/1982,23.36,23.281852,9,1982
261,9/18/1982,23.37428571,23.29446914,9,1982
262,9/19/1982,23.30285714,23.23138343,9,1982
263,9/20/1982,23.22,23.158204,9,1982
264,9/21/1982,23.07142857,23.02698571,9,1982
265,9/22/1982,22.93428571,22.90586114,9,1982
266,9/23/1982,22.66285714,22.66613543,9,1982
267,9/24/1982,22.37714286,22.41379257,9,1982
268,9/25/1982,22.19714286,22.25481657,9,1982
269,9/26/1982,21.99714286,22.07817657,9,1982
270,9/27/1982,21.8,21.90406,9,1982
271,9/28/1982,21.59714286,21.72489657,9,1982
272,9/29/1982,21.33714286,21.49526457,9,1982
273,9/30/1982,21.19714286,21.37161657,9,1982
274,10/1/1982,21.03142857,21.22525771,10,1982
275,10/2/1982,20.90857143,21.11675029,10,1982
276,10/3/1982,20.92,21.126844,10,1982
277,10/4/1982,20.93714286,21.14198457,10,1982
278,10/5/1982,20.92285714,21.12936743,10,1982
279,10/6/1982,20.84571429,21.06123486,10,1982
280,10/7/1982,20.70571429,20.93758686,10,1982
281,10/8/1982,20.54857143,20.79879829,10,1982
282,10/9/1982,20.53142857,20.78365771,10,1982
283,10/10/1982,20.47714286,20.73571257,10,1982
284,10/11/1982,20.35428571,20.62720514,10,1982
285,10/12/1982,20.23428571,20.52122114,10,1982
286,10/13/1982,20.18285714,20.47579943,10,1982
287,10/14/1982,20.10571429,20.40766686,10,1982
288,10/15/1982,19.92571429,20.24869086,10,1982
289,10/16/1982,19.69714286,20.04681657,10,1982
290,10/17/1982,19.26857143,19.66830229,10,1982
291,10/18/1982,18.85714286,19.30492857,10,1982
292,10/19/1982,18.57428571,19.05510914,10,1982
293,10/20/1982,18.42,18.918844,10,1982
294,10/21/1982,18.16571429,18.69425886,10,1982
295,10/22/1982,17.83142857,18.39901771,10,1982
296,10/23/1982,17.39428571,18.01293314,10,1982
297,10/24/1982,16.99714286,17.66217657,10,1982
298,10/25/1982,16.63142857,17.33917771,10,1982
299,10/26/1982,16.49714286,17.22057657,10,1982
300,10/27/1982,16.32,17.064124,10,1982
301,10/28/1982,16.24,16.993468,10,1982
302,10/29/1982,16.14857143,16.91271829,10,1982
303,10/30/1982,16,16.7815,10,1982
304,10/31/1982,15.99428571,16.77645314,10,1982
305,11/1/1982,16.00285714,16.78402343,11,1982
306,11/2/1982,15.99428571,16.77645314,11,1982
307,11/3/1982,15.99714286,16.77897657,11,1982
308,11/4/1982,16.02,16.799164,11,1982
309,11/5/1982,15.68285714,16.50139943,11,1982
310,11/6/1982,15.18857143,16.06484629,11,1982
311,11/7/1982,14.76,15.686332,11,1982
312,11/8/1982,14.40285714,15.37090343,11,1982
313,11/9/1982,14.11142857,15.11351371,11,1982
314,11/10/1982,13.82,14.856124,11,1982
315,11/11/1982,13.59142857,14.65424971,11,1982
316,11/12/1982,13.55714286,14.62396857,11,1982
317,11/13/1982,13.21428571,14.32115714,11,1982
318,11/14/1982,12.83714286,13.98806457,11,1982
319,11/15/1982,12.55142857,13.73572171,11,1982
320,11/16/1982,12.17714286,13.40515257,11,1982
321,11/17/1982,11.85714286,13.12252857,11,1982
322,11/18/1982,11.65714286,12.94588857,11,1982
323,11/19/1982,11.59714286,12.89289657,11,1982
324,11/20/1982,11.64285714,12.93327143,11,1982
325,11/21/1982,11.79142857,13.06448971,11,1982
326,11/22/1982,11.94285714,13.19823143,11,1982
327,11/23/1982,12.00857143,13.25627029,11,1982
328,11/24/1982,11.87142857,13.13514571,11,1982
329,11/25/1982,11.49142857,12.79952971,11,1982
330,11/26/1982,11.43142857,12.74653771,11,1982
331,11/27/1982,11.46285714,12.77429543,11,1982
332,11/28/1982,11.40571429,12.72382686,11,1982
333,11/29/1982,11.51714286,12.82224057,11,1982
334,11/30/1982,11.45714286,12.76924857,11,1982
335,12/1/1982,11.54571429,12.84747486,12,1982
336,12/2/1982,11.62857143,12.92065429,12,1982
337,12/3/1982,11.71714286,12.99888057,12,1982
338,12/4/1982,11.80035133,13.07237029,12,1982
339,12/5/1982,11.77382023,13.04893802,12,1982
340,12/6/1982,11.60438654,12.89929419,12,1982
341,12/7/1982,11.32152939,12.64947476,12,1982
342,12/8/1982,10.96152939,12.33152276,12,1982
343,12/9/1982,10.59867225,12.01104733,12,1982
344,12/10/1982,10.49295797,11.91768048,12,1982
345,12/11/1982,10.59010082,12.00347705,12,1982
346,12/12/1982,10.44152939,11.87225876,12,1982
347,12/13/1982,10.13010082,11.59720505,12,1982
348,12/14/1982,9.801529395,11.30701076,12,1982
349,12/15/1982,9.752957966,11.26411248,12,1982
350,12/16/1982,9.663671459,11.18525463,12,1982
351,12/17/1982,9.237957173,10.80926378,12,1982
352,12/18/1982,8.952242888,10.55692092,12,1982
353,12/19/1982,8.797957173,10.42065578,12,1982
354,12/20/1982,8.755100031,10.38280435,12,1982
355,12/21/1982,8.703671459,10.33738263,12,1982
356,12/22/1982,8.500814316,10.1582192,12,1982
357,12/23/1982,8.377957173,10.04971178,12,1982
358,12/24/1982,8.343671459,10.01943063,12,1982
359,12/25/1982,8.272242888,9.956344918,12,1982
360,12/26/1982,8.281696344,9.964694211,12,1982
361,12/27/1982,8.294222028,9.975756896,12,1982
362,12/28/1982,8.211364886,9.902577467,12,1982
363,12/29/1982,8.07297073,9.780347749,12,1982
364,12/30/1982,8.087256444,9.792964891,12,1982
365,12/31/1982,7.878685016,9.608754606,12,1982
366,1/1/1983,7.73297073,9.480059749,1,1983
367,1/2/1983,7.73297073,9.480059749,1,1983
368,1/3/1983,7.464399301,9.242857463,1,1983
369,1/4/1983,7.187256444,8.998084891,1,1983
370,1/5/1983,6.841542158,8.692750034,1,1983
371,1/6/1983,6.567256444,8.450500891,1,1983
372,1/7/1983,6.37297073,8.278907749,1,1983
373,1/8/1983,6.098333689,8.036348314,1,1983
374,1/9/1983,5.827721931,7.797344009,1,1983
375,1/10/1983,5.680012764,7.666887273,1,1983
376,1/11/1983,5.674298478,7.661840416,1,1983
377,1/12/1983,5.611441335,7.606324987,1,1983
378,1/13/1983,5.420012764,7.437255273,1,1983
379,1/14/1983,5.400012764,7.419591273,1,1983
380,1/15/1983,5.345727049,7.37164613,1,1983
381,1/16/1983,5.365727049,7.38931013,1,1983
382,1/17/1983,5.442869906,7.457442701,1,1983
383,1/18/1983,5.374298478,7.396880416,1,1983
384,1/19/1983,4.951441335,7.023412987,1,1983
385,1/20/1983,4.540727842,6.66067083,1,1983
386,1/21/1983,4.412156414,6.547116544,1,1983
387,1/22/1983,4.515013556,6.637959973,1,1983
388,1/23/1983,4.632156414,6.741420544,1,1983
389,1/24/1983,4.643584985,6.751514259,1,1983
390,1/25/1983,4.677870699,6.781795402,1,1983
