"","Date","Airtemp","AirTmp_14d","WtrTemp_14d","Mo","Yr"
"167",1982-06-16,25.2,22.2928571428571,25.1347041428571,6,1982
"168",1982-06-17,23.9,22.4285714285714,25.2722614285714,6,1982
"169",1982-06-18,22.2,22.4714285714286,25.3157005714286,6,1982
"170",1982-06-19,25.3,22.6,25.446018,6,1982
"171",1982-06-20,24.3,22.8714285714286,25.7211325714286,6,1982
"172",1982-06-21,25,23.1714285714286,26.0252065714286,6,1982
"173",1982-06-22,21.3,23.05,25.902129,6,1982
"174",1982-06-23,23.7,23.1142857142857,25.9672877142857,6,1982
"175",1982-06-24,21.1,23.0642857142857,25.9166087142857,6,1982
"176",1982-06-25,23.9,23.2142857142857,26.0686457142857,6,1982
"177",1982-06-26,24.8,23.4,26.256882,6,1982
"178",1982-06-27,24.4,23.6,26.459598,6,1982
"179",1982-06-28,25,23.8214285714286,26.6840335714286,6,1982
"180",1982-06-29,24.8,23.9214285714286,26.7853915714286,6,1982
"181",1982-06-30,25.3,23.9285714285714,26.7926314285714,6,1982
"182",1982-07-01,22.2,23.8071428571429,26.6695538571429,7,1982
"183",1982-07-02,22.1,23.8,26.662314,7,1982
"184",1982-07-03,26.2,23.8642857142857,26.7274727142857,7,1982
"185",1982-07-04,25.1,23.9214285714286,26.7853915714286,7,1982
"186",1982-07-05,22.6,23.75,26.611635,7,1982
"187",1982-07-06,23.6,23.9142857142857,26.7781517142857,7,1982
"188",1982-07-07,25.4,24.0357142857143,26.9012292857143,7,1982
"189",1982-07-08,27.1,24.4642857142857,27.3356207142857,7,1982
"190",1982-07-09,26.7,24.6642857142857,27.5383367142857,7,1982
"191",1982-07-10,25.6,24.7214285714286,27.5962555714286,7,1982
"192",1982-07-11,26.3,24.8571428571429,27.7338128571429,7,1982
"193",1982-07-12,24.8,24.8428571428571,27.7193331428571,7,1982
"194",1982-07-13,24.6,24.8285714285714,27.7048534285714,7,1982
"195",1982-07-14,24.6,24.7785714285714,27.6541744285714,7,1982
"196",1982-07-15,24.3,24.9285714285714,27.8062114285714,7,1982
